ID, Domain, len, len%, valid_acceptance, invalid_acceptance
349, ferry, 187, 0.051064991807755325, 1.0, 0.6603354978354978
350, ferry, 122, 0.033315128345166575, 1.0, 0.6603354978354978
351, ferry, 147, 0.04014199890770071, 1.0, 0.6603354978354978
352, ferry, 109, 0.029765155652648825, 1.0, 0.6603354978354978
353, ferry, 191, 0.05215729109776079, 1.0, 0.6603354978354978
354, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
355, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
356, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
357, ferry, 7, 0.0019115237575095577, 1.0, 0.6603354978354978
358, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
359, ferry, 8, 0.002184598580010923, 1.0, 0.6603354978354978
360, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
361, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
362, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
363, ferry, 28, 0.007646095030038231, 1.0, 0.6603354978354978
364, ferry, 103, 0.028126706717640632, 1.0, 0.6603354978354978
365, ferry, 101, 0.0275805570726379, 1.0, 0.6603354978354978
366, ferry, 150, 0.0409612233752048, 1.0, 0.6603354978354978
367, ferry, 110, 0.030038230475150193, 1.0, 0.6603354978354978
368, ferry, 142, 0.038776624795193886, 1.0, 0.6603354978354978
369, ferry, 98, 0.026761332605133806, 1.0, 0.6603354978354978
370, ferry, 105, 0.028672856362643363, 1.0, 0.6603354978354978
371, ferry, 120, 0.03276897870016385, 1.0, 0.6603354978354978
372, ferry, 131, 0.03577280174767886, 1.0, 0.6603354978354978
373, ferry, 125, 0.034134352812670674, 1.0, 0.6603354978354978
374, ferry, 252, 0.06881485527034407, 1.0, 0.6603354978354978
375, ferry, 214, 0.05843801201529219, 1.0, 0.6603354978354978
376, ferry, 221, 0.06034953577280175, 1.0, 0.6603354978354978
377, ferry, 263, 0.0718186783178591, 1.0, 0.6603354978354978
378, ferry, 199, 0.05434188967777171, 1.0, 0.6603354978354978
379, ferry, 228, 0.0622610595303113, 1.0, 0.6603354978354978
380, ferry, 243, 0.06635718186783178, 1.0, 0.6603354978354978
381, ferry, 213, 0.058164937192790825, 1.0, 0.6603354978354978
382, ferry, 190, 0.05188421627525942, 1.0, 0.6603354978354978
383, ferry, 214, 0.05843801201529219, 1.0, 0.6603354978354978
384, ferry, 18, 0.004915346805024577, 1.0, 0.6603354978354978
385, ferry, 50, 0.013653741125068269, 1.0, 0.6603354978354978
